107762.09101810084, 0.0
107874.76921905632, 124.04408351054008
107929.9345882741, 1079.1923965128371
107958.10413851298, 2129.014100851942
107979.39897708641, 3209.1698395952844
107998.01100135138, 4094.26414072061
108021.65330244471, 5013.904234247064
108063.15308627876, 5936.976637050204
108109.5154710469, 6820.128502475985
108158.22531833495, 7664.965221397259
108200.47964369325, 8488.35843997165
108263.86113173072, 9329.889567010512
108327.24261976818, 10084.860862490139
108395.90589847542, 10805.126178112347
108475.13275852225, 11535.326046282396
108570.20499057844, 12298.172508743839
108681.12259464398, 13066.989399225262
108797.32198937933, 13751.367752080696
108913.52138411466, 14328.726676826467
109029.72077885, 14817.951954893768
109145.92017358534, 15222.191216521096
109262.11956832068, 15554.034982662488
109378.31896305602, 15576.10884077687
109494.51835779136, 16022.569440157138
109610.71775252669, 16178.14591294153
109726.91714726204, 16267.622150717041
109843.11654199737, 16287.850523245143
109959.31593673272, 16286.045484103626
110075.51533146805, 16227.58310066878
110191.7147262034, 16109.315742702092
110307.91412093873, 15946.981561396155
110424.11351567408, 15743.728186989465
110540.31291040941, 15468.079317096883
110646.6089476389, 14943.790345664616
110772.71169988009, 14794.023998009492
110888.91109461543, 14373.584137145066
111005.11048935077, 13890.1916715103
111121.3098840861, 13331.25608015107
111237.50927882145, 12715.663144498525
111353.70867355679, 12015.084192406008
111464.62627762234, 11238.729398798896
111564.98030034831, 10475.05927327463
111649.48895106492, 9745.544759973418
111723.43402044196, 9027.186065782094
111792.0972991492, 8276.758624245296
111855.47878718666, 7514.047539719453
111916.4594612833, 6523.170557098201
111966.39639125222, 5694.568085067469
112008.65071661051, 4927.857197898484
112045.62325129904, 4158.343030244563
112072.03220464799, 3414.6723737539724
112087.12303513309, 2650.7329249292525
112114.28653000628, 1705.5722347092524
112158.0499384131, 14.255247518522083
112135.41369268544, 872.2911523700459
112225.20413407183, 0.0
